Legislator	Contribution	Influence
Rep, Amodei,  Mark E.	30500.0	3.51
Rep, Baca,  Joe	53000.0	4.52
Rep, Barrow,  John	51500.0	1.02
Rep, Bass,  Karen	23500.0	2.6
Rep, Berman,  Howard L.	16000.0	0.99
Rep, Blackburn,  Marsha	61000.0	1.54
Rep, Bono Mack,  Mary	45000.0	2.32
Rep, Carter,  John R.	0.0	0.0
Rep, Chabot,  Steve	8000.0	0.47
Rep, Chu,  Judy	15000.0	1.27
Rep, Conyers,  John	4000.0	0.15
Rep, Cooper,  Jim	9000.0	0.77
Rep, Deutch,  Theodore E.	27000.0	2.24
Rep, Gallegly,  Elton	19000.0	6.57
Rep, Goodlatte,  Bob	55000.0	1.14
Rep, Griffin,  Tim	23000.0	1.76
Rep, Holden,  Tim	21500.0	1.34
Rep, King,  Peter T.	74500.0	2.23
Rep, Larson,  John B.	31000.0	0.47
Rep, Lujan,  Ben Ray	31000.0	1.04
Rep, Marino,  Tom	23000.0	2.0
Rep, Nunnelee,  Alan	12000.0	1.25
Rep, Owens,  William L.	11500.0	0.67
Rep, Quayle,  Benjamin	17000.0	2.8
Rep, Ross,  Dennis A.	54500.0	1.61
Rep, Scalise,  Steve	72500.0	1.56
Rep, Schiff,  Adam B.	23000.0	1.43
Rep, Sherman,  Brad	27000.0	1.38
Rep, Smith,  Lamar	80000.0	2.87
Rep, Terry,  Lee	50000.0	1.24
Rep, Wasserman Schultz,  Debbie	0.0	0.0
Rep, Watt,  Melvin L.	15500.0	1.02
